country,year,production_tonnes,harvested_area_ha,yield_kg_ha
France,2022,27700000,4500000,6160
France,2023,29000000,4700000,6170
France,2024,26606940,4650000,5720
Germany,2022,21700000,3400000,6380
Germany,2023,19900000,3300000,6030
Germany,2024,18526700,3200000,5780
Poland,2022,14300000,2560000,5590
Poland,2023,13600000,2500000,5440
Poland,2024,12183620,2460000,4950
Romania,2022,10800000,2100000,5140
Romania,2023,9800000,2050000,4780
Romania,2024,9290880,2000000,4650
Spain,2022,8300000,2300000,3610
Spain,2023,7700000,2250000,3420
Spain,2024,7147930,2200000,3250
Egypt,2022,950000,1200000,792
Egypt,2023,960000,1210000,794
Egypt,2024,980000,1220000,803
Morocco,2022,4600000,3200000,1437
Morocco,2023,4200000,3100000,1355
Morocco,2024,4300000,3150000,1365
Algeria,2022,3700000,2000000,1850
Algeria,2023,3900000,2100000,1860
Algeria,2024,4000000,2150000,1860
Canada,2024,35000000,10500000,3333
