"year","commodity_code","commodity","producer","importer","producer_code","importer_code","primary_value","net_weight","is_reported","is_aggregate"
"2024","1001","Wheat and meslin","France","Egypt","251","818","175645362.888",,"False","True"
"2024","1001","Wheat and meslin","France","Morocco","251","504","558484445.629","2132760682.5","False","True"
"2024","1001","Wheat and meslin","France","Algeria","251","12","373310074.0","1412182949.477","False","True"
"2024","1001","Wheat and meslin","Germany","Egypt","276","818","251965.484","","False","True"
"2024","1001","Wheat and meslin","Germany","Morocco","276","504","159551496.051","616341610.0","False","True"
"2024","1001","Wheat and meslin","Germany","Algeria","276","12","25267221.0","95890781.784","False","True"
"2024","1001","Wheat and meslin","Poland","Egypt","616","818","497658.0","","False","True"
"2024","1001","Wheat and meslin","Poland","Morocco","616","504","23260621.246","92316410.0","False","True"
"2024","1001","Wheat and meslin","Romania","Egypt","642","818","278224066.611","795843923.514","False","True"
"2024","1001","Wheat and meslin","Romania","Morocco","642","504","57138809.778","224093100.0","False","True"
"2024","1001","Wheat and meslin","Romania","Algeria","642","12","177929054.0","675252576.85","False","True"
"2024","1001","Wheat and meslin","Spain","Egypt","724","818","6848.322","","False","True"
"2024","1001","Wheat and meslin","Spain","Morocco","724","504","8012456.571","10427697.8","False","True"
